ID Chamado,TÍTULO,CATEGORIA COMPLETA,,,
2019020723,Manutenção semanal do gerador  de 55 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019020724,Manutenção semanal do gerador de 155 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019020725,Manutenção preventiva semanal do gerador 170 kVA do CSC,Manutenção Preventiva > Gerador,,,
2019020726,Manutenção preventiva semanal do gerador 55 kVA da Reitoria CJA,Manutenção Preventiva > Gerador,,,
2019020729,Ar condicionado da sala de aula 01 não está refrigerando. Solicito rep,Climatização > Ar condicionado,,,
2019020735,Manutenção nas maçanetas,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019020736,Troca de cabos HDMI defeituosos,Outros > Erro de chamado,,,
2019020738,"Solicitamos, por gentileza, manutenção da maçaneta da porta da Diretor","Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019020755,De apoio técnico para Reunião do Consuni 27/02,Elétrica > Instalações elétricas,,,
2019020759,Mudança de local de impressora da Prosis,Elétrica > Instalações elétricas,,,
2019020772,Bebedouro entupido.,Hidrossanitária > Hidráulica,,,
2019020776,Manutenção de Lâmpada na Biblioteca,Elétrica > Iluminação,,,
2019020781,Ar condicionado,Climatização > Ar condicionado,,,
2019020782,Reparo na estrutura física da sala do projeto Do Lixo ao Luxo,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019020786,Ar condicionado vazando água,Climatização > Ar condicionado,,,
2019020796,Plano de manutenção preventiva de sistemas hidrossanitários - Pavilhão Administrativo CJA,Manutenção Preventiva > Vistoria em Instalações,,,
2019020797,Plano de manutenção preventiva de sistemas hidrossanitários - Pavilhão de Aulas CJA,Manutenção Preventiva > Vistoria em Instalações,,,
2019020798,Plano de manutenção preventiva de sistemas hidrossanitários - Pavilhão de Serviços CJA,Manutenção Preventiva > Vistoria em Instalações,,,
2019020799,Plano de manutenção preventiva de sistemas hidrossanitários - Reitoria CJA,Manutenção Preventiva > Vistoria em Instalações,,,
2019020800,Plano de manutenção preventiva de sistemas hidrossanitários - Bloco Administrativo CSC,Manutenção Preventiva > Vistoria em Instalações,,,
2019020801,Inspeção diária das instalações prediais - Bloco de Serviços CSC,Manutenção Preventiva > Vistoria em Instalações,,,
2019020802,Plano de manutenção preventiva de sistemas hidrossanitários - Espaço de Leitura (CSC),Manutenção Preventiva > Vistoria em Instalações,,,
2019020803,Plano de manutenção preventiva de sistemas hidrossanitários - Laboratórios CSC,Manutenção Preventiva > Vistoria em Instalações,,,
2019020804,Plano de manutenção preventiva de sistemas hidrossanitários - Pavilhão de Convenções CSC,Manutenção Preventiva > Vistoria em Instalações,,,
2019020805,Plano de manutenção preventiva de sistemas hidrossanitários - Pavilhão de Feiras CSC,Manutenção Preventiva > Vistoria em Instalações,,,
2019020806,Plano de manutenção preventiva de sistemas hidrossanitários - Pórtico CSC,Manutenção Preventiva > Vistoria em Instalações,,,
2019020807,Plano de manutenção preventiva de sistemas hidrossanitários - Restaurante CSC,Manutenção Preventiva > Vistoria em Instalações,,,
2019030001,Manutenção Semestral - Ar condicionado - CPF - Anexo de Aulas,Manutenção Preventiva > Ar condicionado split,,,
2019030002,Manutenção Semestral - Ar condicionado - CPF - Bloco Administrativo,Manutenção Preventiva > Ar condicionado split,,,
2019030003,Manutenção Semestral - Ar condicionado - CPF - Bloco de Aulas 01,Manutenção Preventiva > Ar condicionado split,,,
2019030004,Manutenção Semestral - Ar condicionado - CPF - Bloco de Aulas 02,Manutenção Preventiva > Ar condicionado split,,,
2019030005,Manutenção Semestral - Ar condicionado - CSC - Bloco de Serviços,Manutenção Preventiva > Ar condicionado split,,,
2019030006,Manutenção Semestral - Ar condicionado - CPF - Bloco Docentes,Manutenção Preventiva > Ar condicionado split,,,
2019030007,Manutenção Semestral - Ar condicionado - CJA - CFCA/CEPLAC,Manutenção Preventiva > Ar condicionado split,,,
2019030008,Manutenção Semestral - Ar condicionado - CPF - Laboratório CFCS,Manutenção Preventiva > Ar condicionado split,,,
2019030009,Manutenção Semestral - Ar condicionado - CSC - Laboratórios,Manutenção Preventiva > Ar condicionado split,,,
2019030010,Manutenção Semestral - Ar condicionado - CSC - Pav. Administrativo,Manutenção Preventiva > Ar condicionado split,,,
2019030011,Manutenção Semestral - Ar condicionado - CJA - Pav. Administrativo,Manutenção Preventiva > Ar condicionado split,,,
2019030012,Manutenção Semestral - Ar condicionado - Pav. de Convenções - CSC,Manutenção Preventiva > Ar condicionado split,,,
2019030013,Manutenção Semestral - Ar condicionado - CSC - Pav. de Feiras,Manutenção Preventiva > Ar condicionado split,,,
2019030014,Manutenção Semestral - Ar condicionado - CJA - Pav. de Serviços,Manutenção Preventiva > Ar condicionado split,,,
2019030015,Manutenção Semestral - Ar condicionado - CJA - Pav. de Aulas,Manutenção Preventiva > Ar condicionado split,,,
2019030016,Manutenção Semestral - Ar condicionado - CSC - Pórtico,Manutenção Preventiva > Ar condicionado split,,,
2019030017,Manutenção Semestral - Ar condicionado - CJA - Reitoria,Manutenção Preventiva > Ar condicionado split,,,
2019030025,Troca de soleira,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030026,Substituição de saboneteira,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030030,Queda do forro do teto do arquivo.,Estrutura Predial > Forro,,,
2019030034,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Bloco Administrativo CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030035,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Bloco de Serviços CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030036,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Complexo de Ocas CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030037,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Espaço de leitura CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030038,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Laboratórios CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030039,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Pavilhão de Convenções CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030040,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Pavilhão de Feiras CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030041,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Portaria CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030042,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Pórtico CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030043,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Restaurante CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030044,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Subestação CSC,Manutenção Preventiva > Quadros Elétricos,,,
2019030057,Limpeza semestral de reservatórios - Bloco Docentes - CPF,Hidrossanitária > Hidráulica,,,
2019030058,Limpeza semestral de reservatórios - CUNI ITABUNA - CJA,Hidrossanitária > Hidráulica,,,
2019030059,Limpeza semestral de reservatórios - Pavilhões - CJA,Hidrossanitária > Hidráulica,,,
2019030060,Limpeza semestral de reservatórios - Reitoria - CJA,Hidrossanitária > Hidráulica,,,
2019030061,Limpeza semestral de reservatórios - Reitoria - CJA,Hidrossanitária > Hidráulica,,,
2019030062,Manutenção preventiva semanal do gerador 155 kVA do Pavilhão de Aulas do CJA,Manutenção Preventiva > Gerador,,,
2019030063,Manutenção semanal do gerador  de 55 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019030064,Manutenção semanal do gerador de 155 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019030065,Manutenção preventiva semanal do gerador 170 kVA do CSC,Manutenção Preventiva > Gerador,,,
2019030066,Manutenção preventiva semanal do gerador 55 kVA da Reitoria CJA,Manutenção Preventiva > Gerador,,,
2019030067,Tratamento químico mensal da água de condensação do ar condicionado central,Manutenção Preventiva > Ar condicionado central,,,
2019030068,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Bloco Administrativo CPF,Manutenção Preventiva > Quadros Elétricos,,,
2019030069,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Bloco Anexo de Aulas CPF,Manutenção Preventiva > Quadros Elétricos,,,
2019030070,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Bloco Aulas 1 CPF,Manutenção Preventiva > Quadros Elétricos,,,
2019030071,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Bloco Aulas 2 CPF,Manutenção Preventiva > Quadros Elétricos,,,
2019030072,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Bloco Docente CPF,Manutenção Preventiva > Quadros Elétricos,,,
2019030073,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - CFCTAf/Ceplac CJA,Manutenção Preventiva > Quadros Elétricos,,,
2019030074,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Laboratório 1° Ciclo/CFS CPF,Manutenção Preventiva > Quadros Elétricos,,,
2019030075,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Pavilhão Administrativo CJA,Manutenção Preventiva > Quadros Elétricos,,,
2019030076,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Pavilhão de aulas CJA,Manutenção Preventiva > Quadros Elétricos,,,
2019030077,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Pavilhão de serviços CJA,Manutenção Preventiva > Quadros Elétricos,,,
2019030078,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Quadra CPF,Manutenção Preventiva > Quadros Elétricos,,,
2019030079,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Reitoria CJA,Manutenção Preventiva > Quadros Elétricos,,,
2019030080,Manutenção preventiva/Inspeção bimensal de Quadros Elétricos de BT - Subestação CJA,Manutenção Preventiva > Quadros Elétricos,,,
2019030086,Manutenção preventiva Mensal - Ar condicionado Split System - Pavilhão de Serviços CJA,Manutenção Preventiva > Ar condicionado split,,,
2019030087,Manutenção preventiva Mensal - Ar condicionado Split System - Reitoria CJA,Manutenção Preventiva > Ar condicionado split,,,
2019030090,Manutenção em torneira Àrea externa próximo a quadra,Hidrossanitária > Hidráulica,,,
2019030100,Solicito uma vistoria/análise para uma solução de respingos de chuva n,Estrutura Predial > Infiltração,,,
2019030106,Não está chegando água na caixa acoplada dos banheiros localizados no,Hidrossanitária > Hidráulica,,,
2019030111,Solicito manutenção no ar condicionado do antigo setor de infraestrutu,Climatização > Ar condicionado,,,
2019030130,"Construção de muro (alvenaria),sem porta/portão, entre o  fundo da sala 19 e Á rea do Projeto do Prof Wanderlei,com intuito de se evitar acidentes de alunos com animais peçonhentos.",Projetos e Reformas > Projeto,,,
2019030131,Substituição de registro de gás e mangueira da Copa,"Estrutura Predial > Instalações Especiais (gás, ar comprimido, etc.)",,,
2019030135,"Colocação de saboneteira banheiro feminino,pavilhão II",Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030139,Problemas com o ar da sala 12,Climatização > Ar condicionado,,,
2019030154,Solicito vistoria/manutenção do ponto do rede/elétrico do AP da Recepç,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
2019030157,Solicitação de desratização,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030163,Solicitação de Data Show,Outros > Erro de chamado,,,
2019030167,Solicito manutenção/troca de lampada tubular da sala do Protocolo - CJ,Elétrica > Iluminação,,,
2019030188,SIPAC,Outros > Erro de chamado,,,
2019030189,"Entupimento vaso sanitário feminino (última cabine),lado direito.Pavilhão I",Hidrossanitária > Hidráulica,,,
2019030190,Fechadura,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030196,Solicito manutenção na fechadura da Sala da Assistência Social no qual,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030198,SALA 02,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030202,Manutenção preventiva semanal do gerador 155 kVA do Pavilhão de Aulas do CJA,Manutenção Preventiva > Gerador,,,
2019030203,Manutenção semanal do gerador  de 55 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019030204,Manutenção semanal do gerador de 155 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019030205,Manutenção preventiva Mensal - Ar condicionado Split System - Pavilhão Administrativo CJA,Manutenção Preventiva > Ar condicionado split,,,
2019030206,Manutenção preventiva Mensal - Ar condicionado Split System - Pavilhão de Aulas CJA,Manutenção Preventiva > Ar condicionado split,,,
2019030207,Manutenção preventiva semanal do gerador 170 kVA do CSC,Manutenção Preventiva > Gerador,,,
2019030208,Manutenção preventiva semanal do gerador 55 kVA da Reitoria CJA,Manutenção Preventiva > Gerador,,,
2019030210,CONDICIONADOR DE AR DA SALA DO DIRETOR NÃO FUNCIONA,Climatização > Ar condicionado,,,
2019030212,Ar condicionado não liga,Climatização > Ar condicionado,,,
2019030216,Solicito a troca de um filtro no Purificador de água da Sala dos Profe,Hidrossanitária > Hidráulica,,,
2019030218,"À Coordenação de Manutenção - DINFRA,  Ontem dia 11/03/2019 após avali",Hidrossanitária > Hidráulica,,,
2019030225,Solicitação de manutenção no ar condicionado,Climatização > Ar condicionado,,,
2019030228,Instalação de Guarda Corpo em reservatório - Pórtico - CSC,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030231,Vazamento de água em pias,Hidrossanitária > Hidráulica,,,
2019030232,Solicito manutenção no Sanitário masculino (segundo box de quem entra),Hidrossanitária > Hidráulica,,,
2019030244,Solicitação de reparo no quadro da sala de tutoria 08,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030267,Aumento do quantitativo de tomadas nas salas de aula do CSC,Elétrica > Instalações elétricas,,,
2019030269,Ar Condicionada Sala 10-Pavilhão II Sem funcionamento,Climatização > Ar condicionado,,,
2019030271,INSTALAÇÃO DE PONTO DE REDE,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
2019030291,Alteração de posição dos ar condicionados e drenos no Herbário,Climatização > Ar condicionado,,,
2019030297,Nobreaks apitando,Elétrica > Nobreak,,,
2019030298,Manutenção preventiva Mensal - Ar condicionado Split System - Laboratório CEPLAC CJA,Manutenção Preventiva > Ar condicionado split,,,
2019030299,Manutenção preventiva Mensal - Ar condicionado Split System - Bloco Administrativo CPF,Manutenção Preventiva > Ar condicionado split,,,
2019030300,Manutenção preventiva Mensal - Ar condicionado Split System - Bloco de Aulas 1 CPF,Manutenção Preventiva > Ar condicionado split,,,
2019030301,Manutenção preventiva Mensal - Ar condicionado Split System - Bloco de Aulas 2 CPF,Manutenção Preventiva > Ar condicionado split,,,
2019030302,Manutenção preventiva Mensal - Ar condicionado Split System - Bloco Docente CPF,Manutenção Preventiva > Ar condicionado split,,,
2019030303,Manutenção preventiva Mensal - Ar condicionado Split System - Laboratório 1° Ciclo - CFCS/CPF,Manutenção Preventiva > Ar condicionado split,,,
2019030304,Manutenção preventiva Mensal - Ar condicionado Split System - Pavilhão Anexo de Aulas CPF,Manutenção Preventiva > Ar condicionado split,,,
2019030305,Manutenção preventiva Mensal - Ar condicionado Split System - Pavilhão Administrativo CSC,Manutenção Preventiva > Ar condicionado split,,,
2019030306,Manutenção preventiva Mensal - Ar condicionado Split System - Bloco de Serviços CSC,Manutenção Preventiva > Ar condicionado split,,,
2019030307,Manutenção preventiva Mensal - Ar condicionado Split System - Espaço de Leitura CSC,Manutenção Preventiva > Ar condicionado split,,,
2019030308,Manutenção preventiva Mensal - Ar condicionado Split System - Laboratórios CSC,Manutenção Preventiva > Ar condicionado split,,,
2019030309,Manutenção preventiva Mensal - Ar condicionado Split System - Pavilhão de Convenções CSC,Manutenção Preventiva > Ar condicionado split,,,
2019030310,Manutenção preventiva Mensal - Ar condicionado Split System - Pavilhão de Feiras CSC,Manutenção Preventiva > Ar condicionado split,,,
2019030311,Manutenção preventiva Mensal - Ar condicionado Split System - Pórtico CSC,Manutenção Preventiva > Ar condicionado split,,,
2019030314,Solicito fixação das maçanetas das fechaduras das salas 09 e 10 do pav,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030319,Solicitação de reparo no ar ocndicionado,Climatização > Ar condicionado,,,
2019030322,Solicito manutenção da porta do Sanitário Masculino (parte do vaso san,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030323,Troca de porta de sala e vidro da janela da sala do Cuni Itamaraju,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030325,Passar cabo de rede,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
2019030327,Solicito 04 suportes para serem colocados os purificadores de água.,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030332,Forro precisando de reparos,Estrutura Predial > Forro,,,
2019030334,Fechadura da porta do Almoxarifado com problema,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030346,Solicitação de Profissional de Climatização,Climatização > Ar condicionado central,,,
2019030349,Manutenção preventiva semanal do gerador 155 kVA do Pavilhão de Aulas do CJA,Manutenção Preventiva > Gerador,,,
2019030350,Manutenção semanal do gerador  de 55 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019030351,Manutenção semanal do gerador de 155 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019030352,Manutenção preventiva semanal do gerador 170 kVA do CSC,Manutenção Preventiva > Gerador,,,
2019030353,Manutenção preventiva semanal do gerador 55 kVA da Reitoria CJA,Manutenção Preventiva > Gerador,,,
2019030354,Manutenção preventiva mensal de Ar condicionado Central (Chiller),Manutenção Preventiva > Ar condicionado central,,,
2019030357,Porta de vidro da Coordenação administrativa,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030358,Solicitação de fixação de estante no Laboratório 1,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030360,"Caro Rodrigo,  Conforme solicitado verbalmente, segue a abertura de ch","Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030385,Solicito a retirada de entulho no fundo do CFCS. A maior parte do entu,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030393,Substituicao do nobreak,Elétrica > Nobreak,,,
2019030398,Aparelho não liga,Climatização > Ar condicionado,,,
2019030400,Infiltração,Estrutura Predial > Infiltração,,,
2019030403,Troca de cabos HDMI defeituosos,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030405,Forro do laboratório de Genetica e Biologia Molecular,Estrutura Predial > Forro,,,
2019030410,Manutenção Corretiva no Gerador da Obra,Elétrica > Gerador,,,
2019030411,Oca de artes porta principal o tronco não está fechando !,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030412,Substituição de DPS na Reitoria,Elétrica > Instalações elétricas,,,
2019030413,Reparos nas portas das ocas :,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030420,Revisão Telhado Pav. Administrativo,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
2019030421,Manutenção de Banheiros,Hidrossanitária > Hidráulica,,,
2019030422,Revisão de Fechadura de Portas,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030423,Revisão de Forro mineral das Salas do campus,Estrutura Predial > Forro,,,
2019030424,Fechamento de tampas de tomadas e fios expostos,Elétrica > Instalações elétricas,,,
2019030425,Manutenção em caixas de passagem,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030426,Copas - Adm e Geral,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030433,Entupimento Vaso sanitário Pavilhão II,Hidrossanitária > Hidráulica,,,
2019030439,Reparo na maçaneta da porta da sala dos professores de artes,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030444,Entupimento mictório banheiro Masculino Ala I,Hidrossanitária > Hidráulica,,,
2019030445,Barulho Lampada - Copa - Setor Administrativo - CSC,Elétrica > Iluminação,,,
2019030449,Instalação de Suporte,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030454,"Manutenção/Conserto de  Refletores perto da quadra,e outro perto da cozinha",Elétrica > Iluminação,,,
2019030456,Revisão das tomadas Auditório monte pascoal 1,Elétrica > Instalações elétricas,,,
2019030459,Solicitação de troca de lâmpada dos postes,Elétrica > Iluminação,,,
2019030460,Solicitação de troca de tampa da caixa de tomada,Elétrica > Iluminação,,,
2019030469,Manutenção preventiva semanal do gerador 155 kVA do Pavilhão de Aulas do CJA,Manutenção Preventiva > Gerador,,,
2019030470,Manutenção semanal do gerador  de 55 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019030471,Manutenção semanal do gerador de 155 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019030472,Manutenção preventiva semanal do gerador 170 kVA do CSC,Manutenção Preventiva > Gerador,,,
2019030473,Manutenção preventiva semanal do gerador 55 kVA da Reitoria CJA,Manutenção Preventiva > Gerador,,,
2019030484,Solicito manutenção no Sanitário Feminino do Pav. de Aulas:  Colar mar,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030487,Solicito vistoria e manutenção do ar condicionado da antiga SECAD (Atu,Climatização > Ar condicionado,,,
2019030501,Vazamento de Água em Sanitário,Hidrossanitária > Hidráulica,,,
2019030504,Ar condicionado pingando,Climatização > Ar condicionado,,,
2019030507,Lâmpadas queimadas :,Elétrica > Iluminação,,,
2019030509,Lâmpada queimadas :,Elétrica > Iluminação,,,
2019030512,Trincos da porta principal :,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030513,O ar condicionado da sala SECAD/Multimídia não está funcionando desde,Climatização > Ar condicionado,,,
2019030519,"Solicito fixação da maçaneta das Salas 09, 10 e 11 do Pav. de Aulas CJ","Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030520,"Colegas,  Devido a grande reincidência de abertura de chamados e deslo","Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030522,Manutenção Corretiva no Gerador da Obra,Elétrica > Gerador,,,
2019030523,Solicitação de equipamentos para eventos,Outros > Erro de chamado,,,
2019030526,Reparo/substituição de fechadura,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030537,Bota fora de resíduos sólidos,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019030543,Substituição de poste de alimentação do Lab. de Habilidades,Elétrica > Instalações elétricas,,,
2019030544,Solicito a execução de um ponto de tomada dupla na sala do decanato do,Elétrica > Instalações elétricas,,,
2019030545,Solicito desobstrução do vaso sanitário do box 2 do banheiro masculino,Hidrossanitária > Hidráulica,,,
2019030555,Solicito verificação do ponto de água do bebedouro da entrada do pavil,Hidrossanitária > Hidráulica,,,
2019030556,Transferência e Instalação de Aparelho de Osmose Reversa,Hidrossanitária > Hidráulica,,,
2019030561,Substituição de lâmpadas queimadas,Elétrica > Iluminação,,,
2019030562,Invasão de gatos em laboratório.,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019030567,solicito filmadora panasonic entre o dia 04/04 e dia 10/04,Outros > Erro de chamado,,,
2019030568,MANUTENÇÃO DE LÂMPADA/REATOR,Elétrica > Iluminação,,,
2019030578,Solicito manutenção/troca de lâmpadas do Setor de Operações TIC do Pav,Elétrica > Iluminação,,,
2019030573,Descarga com defeito,Hidrossanitária > Hidráulica,,,
2019030583,Solicitação de manutenção no ar condicionado,Climatização > Ar condicionado,,,
2019030584,Solicito manutenção no purificador de água,Hidrossanitária > Hidráulica,,,
2019040006,Problema ar condicionado,Climatização > Ar condicionado,,,
2019040007,"Solicitamos verificação do ar condicionado, que parou de funcionar e a",Climatização > Ar condicionado,,,
2019040017,"Prezados,  recebemos relatos de cheiro ruim saindo da água (chuveiro)",Hidrossanitária > Hidráulica,,,
2019040306,"Vazamento bojo,lavabo Banheiro Feminino,Pavilhão I",Hidrossanitária > Hidráulica,,,
2019040021,Ar condicionado não funciona,Climatização > Ar condicionado,,,
2019040026,Solicito manutenção/Tomada do projetor fixo(teto) da Sala 06 - Pav. de,Elétrica > Instalações elétricas,,,
2019040033,Instalação de ventiladores,Elétrica > Instalações elétricas,,,
2019040035,Vazamento em pias do laboratório,Hidrossanitária > Hidráulica,,,
2019040039,Manutenção preventiva semanal do gerador 155 kVA do Pavilhão de Aulas do CJA,Manutenção Preventiva > Gerador,,,
2019040040,Manutenção semanal do gerador  de 55 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019040041,Manutenção semanal do gerador de 155 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019040042,Manutenção preventiva semanal do gerador 170 kVA do CSC,Manutenção Preventiva > Gerador,,,
2019040043,Manutenção preventiva semanal do gerador 55 kVA da Reitoria CJA,Manutenção Preventiva > Gerador,,,
2019040044,Manutenção preventiva SEMESTRAL do gerador 155 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019040045,Manutenção preventiva SEMESTRAL do gerador 55 kVA do CPF,Manutenção Preventiva > Gerador,,,
2019040059,Compra de formicida,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
2019040051,Vazamento de água,Hidrossanitária > Hidráulica,,,
2019040053,Tutoria SALA 5,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
2019040064,Iluminação - Sala dos Professores de Artes,Elétrica > Iluminação,,,
2019040067,Solicitação de tomada,Elétrica > Instalações elétricas,,,
2019040071,Tratamento químico mensal da água de condensação do ar condicionado central,Manutenção Preventiva > Ar condicionado central,,,
2019040072,Substituição de lâmpadas queimadas,Elétrica > Iluminação,,,
2019040074,Reparo da rampa da entrada principal do Campus,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019040076,"Fechamento da quadra de esportes pelos lados das arquibancadas, por dois portões, visando o controle do uso.",Projetos e Reformas > Projeto,,,
2019040082,Solicitação de cabos de rede,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
2019040083,Problemas com a televisão da sala Corumbau 1,Outros > Erro de chamado,,,
2019040087,Solicito o descarte de 04 postes que estão quebrados no fundo do labor,Elétrica > Instalações elétricas,,,
2019040096,Substituição de lâmpadas,Elétrica > Iluminação,,,
2019040108,Fixação de caixa de saida das tomadas (energia) cozinha dos estudantes,Elétrica > Iluminação,,,
2019040113,Concerto de ar-condicionado,Climatização > Ar condicionado,,,
2019040116,Solicitação de reparo na fechadura,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019040117,Solicito a substituição de 02 vidros das janelas da sala de aula 04 e,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019040118,Ventilador sala 02,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019040120,Muro quebrado,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
2019040122,Verificação hidráulica - Antigo Fórum Rui Barbosa,Hidrossanitária > Hidráulica,,,
2019040134,Solicito 08 dispositivos protetores de surto para serem substituídos.,Elétrica > Instalações elétricas,,,
2019040135,Reparos em caixa d'água bloco de manutenção,Manutenção Preventiva > Hidráulica,,,
2019040150,Lâmpadas queimadas,Elétrica > Iluminação,,,
2019040155,Solicito confecção de cópias das chaves (2 unidades) do Laboratório do,Outros > Erro de chamado,,,
2019040158,Aparelho de ar condicionado da sala de reuniões dos professores no CJA não liga,Climatização > Ar condicionado,,,
2019040167,Camarim:,Elétrica > Iluminação,,,
2019040168,Manutenção preventiva Mensal - Ar condicionado Split System - Reitoria CJA,Manutenção Preventiva > Ar condicionado split,,,
2019040183,Reparo,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019040208,Aquisição e instalação de fechadura,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
2019040214,Manutenção preventiva semanal do gerador 155 kVA do Pavilhão de Aulas do CJA,Manutenção Preventiva > Gerador,,,
2019040215,Manutenção semanal do gerador  de 55 kVA do CPF,Manutenção Preventiva > Gerador,,,
